id,weight,region,type,tenure,income,hardships,gender,move_date,pretenure,forced_move,move_to_buy
03527,63.725,Non CMA,06,rented,20500,neither,female,5-10,rent,no,no
03531,347.096,Other CMA,06,owned,22000,easy,male,10+,own,no,no
03532,261.762,Non CMA,01,owned,165000,very easy,female,5-10,rent,no,yes
03543,673.199,Vancouver,03,owned,97500,neither,female,10+,rent,no,yes
03550,337.276,Other CMA,05,owned,250000,neither,male,4-5,own,no,no
03557,528.335,Vancouver,06,rented,34000,very difficult,female,3-4,rent,no,no
03569,88.983,Other CMA,06,rented,28000,neither,female,10+,own,no,no
03572,260.64,Vancouver,01,owned,95000,neither,female,10+,rent,no,no
03595,67.018,Non CMA,01,owned,72500,easy,female,1-2,own,no,no
03599,325.767,Other CMA,03,owned,46000,neither,female,2-3,own,no,no
03600,41.066,Non CMA,02,rented,45000,difficult,female,5-10,rent,yes,no
03602,143.105,Vancouver,05,rented,37000,neither,female,3-4,rent,no,no
03605,555.38,Non CMA,01,owned,105000,neither,female,10+,own,no,no
03606,882.855,Vancouver,01,owned,42000,very easy,male,10+,own,no,no
03615,53.527,Other CMA,05,owned,150000,neither,female,10+,rent,no,yes
03627,176.924,Other CMA,01,owned,145000,very easy,female,10+,rent,no,yes
03636,301.661,Non CMA,06,rented,4700,neither,female,3-4,rent,no,no
03648,183.163,Other CMA,03,rented,15000,easy,male,4-5,rent,no,no
03662,11.117,Non CMA,06,rented,67500,neither,female,1-2,rent-free,no,no
03694,10,Non CMA,06,rented,220000,neither,female,3-4,rent,no,no
03701,56.34,Other CMA,02,rented,155000,difficult,female,3-4,own,no,no
03702,153.587,Vancouver,03,rented,25000,very easy,male,2-3,rent,no,no
03722,111.796,Vancouver,06,rented,57500,very easy,female,10+,own,no,no
03733,219.639,Non CMA,06,rented,85000,neither,female,10+,rent-free,no,no
03739,24.326,Other CMA,03,rented,115000,easy,female,10+,rent,no,no
03777,544.171,Other CMA,04,owned,145000,neither,female,10+,rent,no,yes
03793,530.802,Non CMA,03,owned,80000,neither,female,1-2,rent,no,yes
03807,176.354,Vancouver,06,rented,230000,neither,female,4-5,rent,no,no
03827,240.231,Other CMA,01,owned,220000,easy,female,5-10,own,no,no
03835,1598.034,Vancouver,03,owned,1550,easy,male,3-4,rent,no,no
03860,187.689,Other CMA,01,rented,110000,easy,male,10+,rent,no,yes
03863,115.439,Non CMA,06,rented,16500,easy,female,5-10,rent,no,no
03870,309.3,Other CMA,06,owned,85000,easy,male,<1,own,no,no
03878,197.163,Vancouver,05,rented,14000,difficult,male,1-2,rent,no,no
03879,99.429,Other CMA,06,rented,70000,easy,male,5-10,rent-free,no,no
03886,736.392,Vancouver,01,owned,65000,neither,female,10+,rent,no,yes
03891,40.649,Other CMA,04,owned,150000,neither,female,5-10,rent,no,yes
03907,250.518,Vancouver,03,owned,50000,neither,female,10+,own,no,no
03913,1052.883,Vancouver,06,owned,120000,neither,male,2-3,own,no,no
03936,826.499,Vancouver,04,owned,80000,neither,female,1-2,rent,no,yes
03959,384.69,Vancouver,05,owned,55000,neither,male,5-10,own,no,no
03966,119.035,Other CMA,01,rented,100000,neither,female,5-10,rent,no,no
03984,625.798,Non CMA,01,owned,39000,neither,male,10+,own,no,no
04000,262.105,Vancouver,06,rented,28000,difficult,female,10+,rent,no,no
04009,11.545,Non CMA,01,rented,19500,neither,male,10+,rent,no,no
04012,849.154,Vancouver,06,owned,210000,difficult,female,5-10,own,no,no
04028,271.545,Vancouver,04,owned,105000,neither,male,1-2,own,no,no
04030,236.077,Other CMA,01,owned,200000,neither,female,10+,own,no,no
04044,21.611,Non CMA,02,rented,28000,very difficult,female,5-10,rent,no,no
04050,421.955,Vancouver,04,rented,60000,difficult,female,10+,rent,no,no
04069,67.652,Other CMA,06,rented,300000,neither,male,1-2,rent,no,no
04084,161.135,Non CMA,06,owned,17500,neither,female,2-3,own,no,no
04090,402.784,Non CMA,01,owned,140000,easy,male,5-10,own,no,no
04108,667.535,Vancouver,03,owned,260000,neither,male,10+,own,no,no
04118,260.64,Vancouver,06,rented,60000,very easy,female,3-4,rent,yes,no
04126,791.679,Vancouver,01,owned,95000,neither,male,10+,rent-free,no,no
04139,559.808,Vancouver,01,owned,220000,very difficult,male,5-10,own,no,no
